UMA/USDT,,,,,,,,,,,,
TWT/USDT,,,,,,,,,,,,
TVK/USDT,,,,,,,,,,,,
TUSD/USDT,,,,,,,,,,,,
TRXUP/USDT,,,,,,,,,,,,
TRXDOWN/USDT,,,,,,,,,,,,
TRX/USDT,,,,,,,,,,,,
TRU/USDT,,,,,,,,,,,,
TROY/USDT,,,,,,,,,,,,
TRIBE/USDT,,,,,,,,,,,,
TRB/USDT,,,,,,,,,,,,
TORN/USDT,,,,,,,,,,,,
TOMO/USDT,,,,,,,,,,,,
TLM/USDT,,,,,,,,,,,,
TKO/USDT,,,,,,,,,,,,
THETA/USDT,,,,,,,,,,,,
TFUEL/USDT,,,,,,,,,,,,
TCT/USDT,,,,,,,,,,,,
T/USDT,,,,,,,,,,,,
SYS/USDT,,,,,,,,,,,,
SYN/USDT,,,,,,,,,,,,
SXPUP/USDT,,,,,,,,,,,,
SXPDOWN/USDT,,,,,,,,,,,,
SXP/USDT,,,,,,,,,,,,
SUSHIUP/USDT,,,,,,,,,,,,
SUSHIDOWN/USDT,,,,,,,,,,,,
SUSHI/USDT,,,,,,,,,,,,
SUSD/USDT,,,,,,,,,,,,
SUPER/USDT,,,,,,,,,,,,
SUN/USDT,,,,,,,,,,,,
STX/USDT,,,,,,,,,,,,
STRAX/USDT,,,,,,,,,,,,
STRAT/USDT,,,,,,,,,,,,
STPT/USDT,,,,,,,,,,,,
STORM/USDT,,,,,,,,,,,,
STORJ/USDT,,,,,,,,,,,,
STMX/USDT,,,,,,,,,,,,
STG/USDT,,,,,,,,,,,,
STEEM/USDT,,,,,,,,,,,,
SSV/USDT,,,,,,,,,,,,
SRM/USDT,,,,,,,,,,,,
SPELL/USDT,,,,,,,,,,,,
SOL/USDT,,,,,,,,,,,,
SNX/USDT,,,,,,,,,,,,
SLP/USDT,,,,,,,,,,,,
SKL/USDT,,,,,,,,,,,,
SHIB/USDT,,,,,,,,,,,,Last 7 Days
SFP/USDT,,,,,,,,,,,,
SCRT/USDT,,,,,,,,,,,,
SC/USDT,,,,,,,,,,,,
SANTOS/USDT,,,,,,,,,,,,
SAND/USDT,,,,,,,,,,,,
RVN/USDT,,,,,,,,,,,,
RUNE/USDT,,,,,,,,,,,,
RSR/USDT,,,,,,,,,,,,
RPL/USDT,,,,,,,,,,,,
ROSE/USDT,,,,,,,,,,,,
RNDR/USDT,,,,,,,,,,,,
RLC/USDT,,,,,,,,,,,,
RIF/USDT,,,,,,,,,,,,
RGT/USDT,,,,,,,,,,,,
REQ/USDT,,,,,,,,,,,,
REP/USDT,,,,,,,,,,,,
REN/USDT,,,,,,,,,,,,
REI/USDT,,,,,,,,,,,,
REEF/USDT,,,,,,,,,,,,
RAY/USDT,,,,,,,,,,,,
RARE/USDT,,,,,,,,,,,,
RAMP/USDT,,,,,,,,,,,,
RAD/USDT,,,,,,,,,,,,
QUICK/USDT,,,,,,,,,,,,
QTUM/USDT,,,,,,,,,,,,
QNT/USDT,,,,,,,,,,,,
QI/USDT,,,,,,,,,,,,
PYR/USDT,,,,,,,,,,,,
PUNDIX/USDT,,,,,,,,,,,,
PSG/USDT,,,,,,,,,,,,
PROS/USDT,,,,,,,,,,,,
POWR/USDT,,,,,,,,,,,,
PORTO/USDT,,,,,,,,,,,,
POND/USDT,,,,,,,,,,,,
POLYX/USDT,,,,,,,,,,,,
POLY/USDT,,,,,,,,,,,,
POLS/USDT,,,,,,,,,,,,
PNT/USDT,,,,,,,,,,,,
PLA/USDT,,,,,,,,,,,,
PHB/USDT,,,,,,,,,,,,
PHA/USDT,,,,,,,,,,,,
PERP/USDT,,,,,,,,,,,,
PERL/USDT,,,,,,,,,,,,
PEOPLE/USDT,,,,,,,,,,,,
PAXG/USDT,,,,,,,,,,,,
PAX/USDT,,,,,,,,,,,,
OXT/USDT,,,,,,,,,,,,
OSMO/USDT,,,,,,,,,,,,
ORN/USDT,,,,,,,,,,,,
OP/USDT,,,,,,,,,,,,
OOKI/USDT,,,,,,,,,,,,
ONT/USDT,,,,,,,,,,,,
ONG/USDT,,,,,,,,,,,,
ONE/USDT,,,,,,,,,,,,
OMG/USDT,,,,,,,,,,,,
OM/USDT,,,,,,,,,,,,
OGN/USDT,,,,,,,,,,,,
OG/USDT,,,,,,,,,,,,
OCEAN/USDT,,,,,,,,,,,,
NULS/USDT,,,,,,,,,,,,
NU/USDT,,,,,,,,,,,,
NPXS/USDT,,,,,,,,,,,,
NMR/USDT,,,,,,,,,,,,
NKN/USDT,,,,,,,,,,,,
NEXO/USDT,,,,,,,,,,,,
NEO/USDT,,,,,,,,,,,,
NEBL/USDT,,,,,,,,,,,,
NEAR/USDT,,,,,,,,,,,,
NBT/USDT,,,,,,,,,,,,
NBS/USDT,,,,,,,,,,,,
NANO/USDT,,,,,,,,,,,,
MULTI/USDT,,,,,,,,,,,,
MTL/USDT,,,,,,,,,,,,
MOVR/USDT,,,,,,,,,,,,
MOB/USDT,,,,,,,,,,,,
MLN/USDT,,,,,,,,,,,,
MKR/USDT,,,,,,,,,,,,
MITH/USDT,,,,,,,,,,,,
MIR/USDT,,,,,,,,,,,,
MINA/USDT,,,,,,,,,,,,
MFT/USDT,,,,,,,,,,,,
MDX/USDT,,,,,,,,,,,,
MDT/USDT,,,,,,,,,,,,
MCO/USDT,,,,,,,,,,,,
MC/USDT,,,,,,,,,,,,
MBOX/USDT,,,,,,,,,,,,
MBL/USDT,,,,,,,,,,,,
MATIC/USDT,,,,,,,,,,,,
MASK/USDT,,,,,,,,,,,,
MANA/USDT,,,,,,,,,,,,
MAGIC/USDT,,,,,,,,,,,,
LUNC/USDT,,,,,,,,,,,,
LUNA/USDT,,,,,,,,,,,,
LTO/USDT,,,,,,,,,,,,
LTCUP/USDT,,,,,,,,,,,,
LTCDOWN/USDT,,,,,,,,,,,,
LTC/USDT,,,,,,,,,,,,
LSK/USDT,,,,,,,,,,,,
LRC/USDT,,,,,,,,,,,,
LQTY/USDT,,,,,,,,,,,,
LPT/USDT,,,,,,,,,,,,
LOKA/USDT,,,,,,,,,,,,
LIT/USDT,,,,,,,,,,,,
LINKUP/USDT,,,,,,,,,,,,
LINKDOWN/USDT,,,,,,,,,,,,
LINK/USDT,,,,,,,,,,,,
LINA/USDT,,,,,,,,,,,,
LEVER/USDT,,,,,,,,,,,,
LEND/USDT,,,,,,,,,,,,
LDO/USDT,,,,,,,,,,,,
LAZIO/USDT,,,,,,,,,,,,
KSM/USDT,,,,,,,,,,,,
KP3R/USDT,,,,,,,,,,,,
KNC/USDT,,,,,,,,,,,,
KMD/USDT,,,,,,,,,,,,
KLAY/USDT,,,,,,,,,,,,
KEY/USDT,,,,,,,,,,,,
KEEP/USDT,,,,,,,,,,,,
KDA/USDT,,,,,,,,,,,,
KAVA/USDT,,,,,,,,,,,,
JUV/USDT,,,,,,,,,,,,
JST/USDT,,,,,,,,,,,,
JOE/USDT,,,,,,,,,,,,
JASMY/USDT,,,,,,,,,,,,
IRIS/USDT,,,,,,,,,,,,
IOTX/USDT,,,,,,,,,,,,
IOTA/USDT,,,,,,,,,,,,
IOST/USDT,,,,,,,,,,,,
INJ/USDT,,,,,,,,,,,,
IMX/USDT,,,,,,,,,,,,
ILV/USDT,,,,,,,,,,,,
IDEX/USDT,,,,,,,,,,,,
ICX/USDT,,,,,,,,,,,,
ICP/USDT,,,,,,,,,,,,
HOT/USDT,,,,,,,,,,,,
HOOK/USDT,,,,,,,,,,,,
HNT/USDT,,,,,,,,,,,,
HIVE/USDT,,,,,,,,,,,,
HIGH/USDT,,,,,,,,,,,,
HIFI/USDT,,,,,,,,,,,,
HFT/USDT,,,,,,,,,,,,
HC/USDT,,,,,,,,,,,,
HBAR/USDT,,,,,,,,,,,,
HARD/USDT,,,,,,,,,,,,
GXS/USDT,,,,,,,,,,,,
GTO/USDT,,,,,,,,,,,,
GTC/USDT,,,,,,,,,,,,
GRT/USDT,,,,,,,,,,,,
GNS/USDT,,,,,,,,,,,,
GNO/USDT,,,,,,,,,,,,
GMX/USDT,,,,,,,,,,,,
GMT/USDT,,,,,,,,,,,,
GLMR/USDT,,,,,,,,,,,,
GHST/USDT,,,,,,,,,,,,
GBP/USDT,,,,,,,,,,,,
GALA/USDT,,,,,,,,,,,,
GAL/USDT,,,,,,,,,,,,
FXS/USDT,,,,,,,,,,,,
FUN/USDT,,,,,,,,,,,,
FTT/USDT,,,,,,,,,,,,
FTM/USDT,,,,,,,,,,,,
FRONT/USDT,,,,,,,,,,,,
FORTH/USDT,,,,,,,,,,,,
FOR/USDT,,,,,,,,,,,,
FLUX/USDT,,,,,,,,,,,,
FLOW/USDT,,,,,,,,,,,,
FLM/USDT,,,,,,,,,,,,
FIS/USDT,,,,,,,,,,,,
FIRO/USDT,,,,,,,,,,,,
FIO/USDT,,,,,,,,,,,,
FILUP/USDT,,,,,,,,,,,,
FILDOWN/USDT,,,,,,,,,,,,
FIL/USDT,,,,,,,,,,,,
FIDA/USDT,,,,,,,,,,,,
FET/USDT,,,,,,,,,,,,
FARM/USDT,,,,,,,,,,,,
EUR/USDT,,,,,,,,,,,,
ETHUP/USDT,,,,,,,,,,,,
ETHDOWN/USDT,,,,,,,,,,,,
ETHBULL/USDT,,,,,,,,,,,,
ETHBEAR/USDT,,,,,,,,,,,,
ETH/USDT,,,,,,,,,,,,
ETC/USDT,,,,,,,,,,,,
ERN/USDT,,,,,,,,,,,,
ERD/USDT,,,,,,,,,,,,
EPX/USDT,,,,,,,,,,,,
EPS/USDT,,,,,,,,,,,,
EOSUP/USDT,,,,,,,,,,,,
EOSDOWN/USDT,,,,,,,,,,,,
EOSBULL/USDT,,,,,,,,,,,,
EOSBEAR/USDT,,,,,,,,,,,,
EOS/USDT,,,,,,,,,,,,
ENS/USDT,,,,,,,,,,,,
ENJ/USDT,,,,,,,,,,,,
ELF/USDT,,,,,,,,,,,,
EGLD/USDT,,,,,,,,,,,,
DYDX/USDT,,,,,,,,,,,,
DUSK/USDT,,,,,,,,,,,,
DREP/USDT,,,,,,,,,,,,
DOTUP/USDT,,,,,,,,,,,,
DOTDOWN/USDT,,,,,,,,,,,,
DOT/USDT,,,,,,,,,,,,
DOGE/USDT,,,,,,,,,,,,
DODO/USDT,,,,,,,,,,,,
DOCK/USDT,,,,,,,,,,,,
DNT/USDT,,,,,,,,,,,,
DIA/USDT,,,,,,,,,,,,
DGB/USDT,,,,,,,,,,,,
DF/USDT,,,,,,,,,,,,
DEXE/USDT,,,,,,,,,,,,
DENT/USDT,,,,,,,,,,,,
DEGO/USDT,,,,,,,,,,,,
DCR/USDT,,,,,,,,,,,,
DATA/USDT,,,,,,,,,,,,
DASH/USDT,,,,,,,,,,,,
DAR/USDT,,,,,,,,,,,,
DAI/USDT,,,,,,,,,,,,
CVX/USDT,,,,,,,,,,,,
CVP/USDT,,,,,,,,,,,,
CVC/USDT,,,,,,,,,,,,
CTXC/USDT,,,,,,,,,,,,
CTSI/USDT,,,,,,,,,,,,
CTK/USDT,,,,,,,,,,,,
CRV/USDT,,,,,,,,,,,,
COTI/USDT,,,,,,,,,,,,
COS/USDT,,,,,,,,,,,,
COMP/USDT,,,,,,,,,,,,
COCOS/USDT,,,,,,,,,,,,
CLV/USDT,,,,,,,,,,,,
CKB/USDT,,,,,,,,,,,,
CITY/USDT,,,,,,,,,,,,
CHZ/USDT,,,,,,,,,,,,
CHR/USDT,,,,,,,,,,,,
CHESS/USDT,,,,,,,,,,,,
CFX/USDT,,,,,,,,,,,,
CELR/USDT,,,,,,,,,,,,
CELO/USDT,,,,,,,,,,,,
CAKE/USDT,,,,,,,,,,,,
C98/USDT,,,,,,,,,,,,
BZRX/USDT,,,,,,,,,,,,
BUSD/USDT,,,,,,,,,,,,
BURGER/USDT,,,,,,,,,,,,
BULL/USDT,,,,,,,,,,,,
BTTC/USDT,,,,,,,,,,,,
BTT/USDT,,,,,,,,,,,,
BTS/USDT,,,,,,,,,,,,
BTG/USDT,,,,,,,,,,,,
BTCUP/USDT,,,,,,,,,,,,
BTCST/USDT,,,,,,,,,,,,
BTCDOWN/USDT,,,,,,,,,,,,
BTC/USDT,,,,,,,,,,,,
BSW/USDT,,,,,,,,,,,,
BSV/USDT,,,,,,,,,,,,
BOND/USDT,,,,,,,,,,,,
BNX/USDT,,,,,,,,,,,,
BNT/USDT,,,,,,,,,,,,
BNBUP/USDT,,,,,,,,,,,,
BNBDOWN/USDT,,,,,,,,,,,,
BNBBULL/USDT,,,,,,,,,,,,
BNBBEAR/USDT,,,,,,,,,,,,
BNB/USDT,,,,,,,,,,,,
BLZ/USDT,,,,,,,,,,,,
BKRW/USDT,,,,,,,,,,,,
BIFI/USDT,,,,,,,,,,,,
BICO/USDT,,,,,,,,,,,,
BETH/USDT,,,,,,,,,,,,
BETA/USDT,,,,,,,,,,,,
BEL/USDT,,,,,,,,,,,,
BEAR/USDT,,,,,,,,,,,,
BEAM/USDT,,,,,,,,,,,,
BCHUP/USDT,,,,,,,,,,,,
BCHDOWN/USDT,,,,,,,,,,,,
BCH/USDT,,,,,,,,,,,,
BCC/USDT,,,,,,,,,,,,
BAT/USDT,,,,,,,,,,,,
BAR/USDT,,,,,,,,,,,,
BAND/USDT,,,,,,,,,,,,
BAL/USDT,,,,,,,,,,,,
BAKE/USDT,,,,,,,,,,,,
BADGER/USDT,,,,,,,,,,,,
AXS/USDT,,,,,,,,,,,,
AVAX/USDT,,,,,,,,,,,,
AVA/USDT,,,,,,,,,,,,
AUTO/USDT,,,,,,,,,,,,
AUDIO/USDT,,,,,,,,,,,,
AUD/USDT,,,,,,,,,,,,
AUCTION/USDT,,,,,,,,,,,,
ATOM/USDT,,,,,,,,,,,,
ATM/USDT,,,,,,,,,,,,
ATA/USDT,,,,,,,,,,,,
ASTR/USDT,,,,,,,,,,,,
ASR/USDT,,,,,,,,,,,,
ARPA/USDT,,,,,,,,,,,,
ARDR/USDT,,,,,,,,,,,,
AR/USDT,,,,,,,,,,,,
APT/USDT,,,,,,,,,,,,
API3/USDT,,,,,,,,,,,,
APE/USDT,,,,,,,,,,,,
ANY/USDT,,,,,,,,,,,,
ANT/USDT,,,,,,,,,,,,
ANKR/USDT,,,,,,,,,,,,
ANC/USDT,,,,,,,,,,,,
AMP/USDT,,,,,,,,,,,,
AMB/USDT,,,,,,,,,,,,
ALPINE/USDT,,,,,,,,,,,,
ALPHA/USDT,,,,,,,,,,,,
ALPACA/USDT,,,,,,,,,,,,
ALICE/USDT,,,,,,,,,,,,
ALGO/USDT,,,,,,,,,,,,
ALCX/USDT,,,,,,,,,,,,
AKRO/USDT,,,,,,,,,,,,
AION/USDT,,,,,,,,,,,,
AGLD/USDT,,,,,,,,,,,,
AGIX/USDT,,,,,,,,,,,,
ADX/USDT,,,,,,,,,,,,
ADAUP/USDT,,,,,,,,,,,,
ADADOWN/USDT,,,,,,,,,,,,
ADA/USDT,,,,,,,,,,,,
ACM/USDT,,,,,,,,,,,,
ACH/USDT,,,,,,,,,,,,
ACA/USDT,,,,,,,,,,,,
AAVEUP/USDT,,,,,,,,,,,,
AAVEDOWN/USDT,,,,,,,,,,,,
AAVE/USDT,,,,,,,,,,,,
1INCHUP/USDT,,,,,,,,,,,,
1INCHDOWN/USDT,,,,,,,,,,,,
1INCH/USDT,,,,,,,,,,,,
